target_id,ligand_id,label,selection_role,MK14_1A9U_aligned,MK14_2QD9_reference,MK14_3K3J_aligned,MK14_3KQ7_aligned
MK14,MK14_active_L000302,active,development_train,-8.595,-9.235,-8.902,-8.895
MK14,MK14_active_L000304,active,development_train,-9.177,-8.534,-11.43,-12.86
MK14,MK14_active_L000308,active,development_train,-9.206,-10.34,-8.922,-10.55
MK14,MK14_active_L000314,active,development_train,-9.021,-9.615,-9.646,-10.73
MK14,MK14_active_L000315,active,development_validation,-7.861,-8.878,-8.175,-9.954
MK14,MK14_active_L000316,active,development_train,-8.436,-8.397,-8.92,-9.102
MK14,MK14_active_L000328,active,development_train,-8.822,-9.248,-9.465,-9.985
MK14,MK14_active_L000330,active,development_validation,-9.744,-9.748,-9.377,-10.65
MK14,MK14_active_L000335,active,development_train,-7.933,-8.997,-8.724,-9.245
MK14,MK14_active_L000338,active,development_train,-9.595,-9.011,-9.934,-10.17
MK14,MK14_active_L000340,active,development_train,-10.35,-9.409,-11.13,-10.68
MK14,MK14_active_L000341,active,development_train,-8.057,-8.258,-8.603,-9.673
MK14,MK14_active_L000343,active,development_train,-9.685,-9.609,-12.24,-13.03
MK14,MK14_active_L000345,active,development_train,-7.121,-7.74,-7.685,-7.852
MK14,MK14_active_L000346,active,development_validation,-7.773,-7.25,-7.801,-8.605
MK14,MK14_active_L000348,active,development_train,-10.33,-9.596,-12.29,-13.18
MK14,MK14_active_L000354,active,development_validation,-9.365,-8.848,-12.17,-13.07
MK14,MK14_active_L000364,active,development_train,-9.633,-8.472,-11.27,-11.71
MK14,MK14_active_L000365,active,development_train,-9.431,-9.492,-11.83,-13.65
MK14,MK14_active_L000370,active,development_train,-8.63,-8.261,-9.633,-10.73
MK14,MK14_active_L000375,active,development_train,-8.759,-8.813,-9.144,-9.664
MK14,MK14_active_L000377,active,development_validation,-8.558,-8.248,-9.52,-9.831
MK14,MK14_active_L000381,active,development_validation,-8.304,-8.067,-9.107,-10.2
MK14,MK14_active_L000382,active,development_validation,-7.56,-8.014,-9.43,-9.096
MK14,MK14_active_L000393,active,development_validation,-8.317,-10.77,-9.096,-10.17
MK14,MK14_active_L000394,active,development_validation,-8.195,-9.208,-8.581,-8.693
MK14,MK14_active_L000395,active,development_train,-8.405,-8.213,-8.988,-9.986
MK14,MK14_active_L000411,active,development_train,-9.112,-8.22,-9.312,-9.403
MK14,MK14_active_L000413,active,development_validation,-9.076,-10.75,-9.493,-10.57
MK14,MK14_active_L000417,active,development_validation,-9.584,-8.993,-11.21,-11.94
MK14,MK14_active_L000419,active,development_train,-9.63,-8.734,-10.99,-12.07
MK14,MK14_active_L000446,active,development_validation,-8.406,-10.35,-9.884,-9.472
MK14,MK14_active_L000449,active,development_train,-9.951,-9.142,-8.864,-8.836
MK14,MK14_active_L000453,active,development_train,-6.827,-6.798,-7.315,-7.892
MK14,MK14_active_L000455,active,development_train,-9.052,-9.198,-10.04,-9.717
MK14,MK14_active_L000457,active,development_train,-8.63,-10.26,-10.71,-11.07
MK14,MK14_active_L000463,active,development_train,-8.376,-9.326,-9.579,-9.283
MK14,MK14_active_L000471,active,development_validation,-6.897,-6.35,-7.049,-7.668
MK14,MK14_active_L000481,active,development_train,-7.854,-8.096,-8.148,-8.877
MK14,MK14_active_L000483,active,development_validation,-7.603,-8.748,-8.475,-8.528
MK14,MK14_active_L000485,active,development_train,-10.16,-9.14,-11.77,-13.52
MK14,MK14_active_L000491,active,development_train,-9.693,-9.126,-11.54,-12.53
MK14,MK14_active_L000492,active,development_train,-8.885,-7.91,-10.42,-11.22
MK14,MK14_active_L000494,active,development_train,-8.995,-8.514,-11.23,-12.23
MK14,MK14_active_L000501,active,development_validation,-8.678,-9.26,-8.353,-7.887
MK14,MK14_active_L000504,active,development_train,-9.409,-8.446,-9.333,-9.887
MK14,MK14_active_L000507,active,development_train,-9.457,-8.193,-10.57,-9.55
MK14,MK14_active_L000509,active,development_train,-9.228,-7.596,-10.64,-10.62
MK14,MK14_active_L000519,active,development_train,-8.586,-9.133,-8.552,-8.423
MK14,MK14_active_L000532,active,development_train,-7.041,-8.636,-8.777,-8.688
MK14,MK14_active_L000538,active,development_validation,-8.796,-8.114,-9.984,-9.039
MK14,MK14_active_L000553,active,development_train,-9.928,-8.764,-10.78,-12.16
MK14,MK14_active_L000565,active,development_validation,-8.512,-8.395,-9.333,-10.17
MK14,MK14_active_L000568,active,development_train,-8.092,-9.462,-9.101,-10.17
MK14,MK14_active_L000570,active,development_train,-9.064,-8.712,-8.307,-9.559
MK14,MK14_active_L000571,active,development_train,-7.99,-8.516,-8.718,-8.842
MK14,MK14_active_L000574,active,development_validation,-8.099,-7.589,-8.507,-7.838
MK14,MK14_active_L000578,active,development_train,-8.835,-10.58,-9.764,-10.66
MK14,MK14_decoy_L000548,decoy,development_validation,-7.904,-9.319,-9.19,-8.747
MK14,MK14_decoy_L001058,decoy,development_train,-6.52,-6.937,-7.147,-8.01
MK14,MK14_decoy_L001168,decoy,development_train,-7.23,-7.442,-7.462,-7.858
MK14,MK14_decoy_L001595,decoy,development_train,-8.379,-7.694,-9.387,-9.724
MK14,MK14_decoy_L001766,decoy,development_validation,-8.393,-7.776,-8.529,-9.754
MK14,MK14_decoy_L001817,decoy,development_validation,-8.867,-8.31,-9.326,-9.019
MK14,MK14_decoy_L003054,decoy,development_validation,-6.963,-7.004,-7.964,-8.496
MK14,MK14_decoy_L003244,decoy,development_train,-9.144,-9.841,-10.09,-10.98
MK14,MK14_decoy_L003661,decoy,development_validation,-8.037,-7.208,-7.524,-7.337
MK14,MK14_decoy_L004333,decoy,development_train,-9.656,-8.828,-10.62,-10.85
MK14,MK14_decoy_L004683,decoy,development_train,-8.304,-8.491,-9.305,-10.32
MK14,MK14_decoy_L004805,decoy,development_validation,-8.429,-8.178,-8.864,-8.663
MK14,MK14_decoy_L005123,decoy,development_validation,-8.086,-7.619,-7.634,-8.77
MK14,MK14_decoy_L005335,decoy,development_train,-8.137,-8.674,-9.461,-9.539
MK14,MK14_decoy_L006049,decoy,development_train,-9.296,-9.153,-10.19,-10.23
MK14,MK14_decoy_L006697,decoy,development_train,-8.664,-9.506,-8.844,-10.33
MK14,MK14_decoy_L006773,decoy,development_train,-10.44,-8.763,-9.975,-10.6
MK14,MK14_decoy_L007322,decoy,development_train,-8.26,-8.154,-7.819,-9.279
MK14,MK14_decoy_L007768,decoy,development_train,-8.358,-7.272,-7.271,-8.646
MK14,MK14_decoy_L008076,decoy,development_validation,-6.391,-6.491,-7.159,-7.57
MK14,MK14_decoy_L008337,decoy,development_validation,-8.748,-8.487,-8.739,-9.84
MK14,MK14_decoy_L008708,decoy,development_train,-7.555,-7.789,-8.725,-9.299
MK14,MK14_decoy_L008855,decoy,development_train,-9.901,-8.95,-10.23,-9.58
MK14,MK14_decoy_L009071,decoy,development_train,-8.208,-7.246,-8.989,-7.685
MK14,MK14_decoy_L009243,decoy,development_validation,-9.342,-8.862,-10.29,-10.51
MK14,MK14_decoy_L009285,decoy,development_train,-9.732,-9.281,-11.39,-11.79
MK14,MK14_decoy_L009706,decoy,development_train,-11.22,-9.67,-10.91,-10.28
MK14,MK14_decoy_L010208,decoy,development_train,-8.565,-7.89,-8.534,-8.434
MK14,MK14_decoy_L010290,decoy,development_train,-8.56,-6.665,-8.599,-9.599
MK14,MK14_decoy_L010627,decoy,development_train,-7.217,-7.151,-7.421,-6.903
MK14,MK14_decoy_L010849,decoy,development_train,-9.117,-8.492,-9.959,-10.19
MK14,MK14_decoy_L010956,decoy,development_validation,-8.294,-9.534,-10.63,-10.17
MK14,MK14_decoy_L011521,decoy,development_train,-9.706,-8.757,-9.138,-10.26
MK14,MK14_decoy_L011535,decoy,development_validation,-8.604,-9.21,-9.477,-9.882
MK14,MK14_decoy_L012302,decoy,development_train,-8.408,-9.889,-7.696,-7.287
MK14,MK14_decoy_L012600,decoy,development_train,-8.784,-9.032,-9.161,-10.08
MK14,MK14_decoy_L012620,decoy,development_train,-9.242,-7.641,-7.847,-8.844
MK14,MK14_decoy_L012689,decoy,development_validation,-7.96,-9.119,-7.709,-8.256
MK14,MK14_decoy_L012853,decoy,development_train,-5.811,-6.866,-7.019,-7.056
MK14,MK14_decoy_L013845,decoy,development_validation,-6.892,-7.841,-7.417,-7.544
MK14,MK14_decoy_L014194,decoy,development_train,-8.063,-8.091,-9.598,-8.3
MK14,MK14_decoy_L014448,decoy,development_validation,-6.918,-6.512,-6.408,-6.315
MK14,MK14_decoy_L014499,decoy,development_train,-7.165,-8.038,-7.19,-8.738
MK14,MK14_decoy_L014506,decoy,development_train,-9.276,-8.931,-8.607,-9.418
MK14,MK14_decoy_L014596,decoy,development_train,-8.745,-9.131,-9.182,-9.37
MK14,MK14_decoy_L015055,decoy,development_train,-9.344,-9.005,-9.583,-9.26
MK14,MK14_decoy_L015084,decoy,development_validation,-7.77,-7.101,-7.626,-8.281
MK14,MK14_decoy_L015279,decoy,development_train,-8.592,-10.45,-8.779,-9.159
MK14,MK14_decoy_L015544,decoy,development_train,-8.628,-8.058,-8.481,-9.928
MK14,MK14_decoy_L015596,decoy,development_train,-9.388,-8.211,-8.364,-9.218
MK14,MK14_decoy_L015831,decoy,development_train,-7.004,-7.175,-7.235,-7.881
MK14,MK14_decoy_L015843,decoy,development_train,-8.074,-8.573,-8.74,-8.855
MK14,MK14_decoy_L016113,decoy,development_validation,-8.755,-9.517,-9.311,-10.02
MK14,MK14_decoy_L016578,decoy,development_validation,-8.506,-7.627,-8.115,-8.827
MK14,MK14_decoy_L016597,decoy,development_validation,-7.356,-8.068,-9.159,-8.894
MK14,MK14_decoy_L016973,decoy,development_train,-7.846,-7.637,-8.802,-8.813
MK14,MK14_decoy_L017312,decoy,development_validation,-7.265,-7.065,-7.197,-8.322
MK14,MK14_decoy_L017314,decoy,development_train,-7.08,-6.437,-7.351,-7.881
MK14,MK14_decoy_L017817,decoy,development_train,-7.656,-7.115,-8.091,-8.235
MK14,MK14_decoy_L017906,decoy,development_validation,-9.056,-8.712,-8.692,-8.858
MK14,MK14_decoy_L018641,decoy,development_train,-7.144,-8.17,-8.177,-9.325
MK14,MK14_decoy_L018890,decoy,development_validation,-8.336,-8.459,-7.964,-8.634
MK14,MK14_decoy_L018934,decoy,development_validation,-7.686,-8.242,-7.986,-7.747
MK14,MK14_decoy_L019224,decoy,development_train,-9.237,-8.137,-9.29,-9.99
MK14,MK14_decoy_L019326,decoy,development_train,-11.13,-9.333,-8.27,-9.818
MK14,MK14_decoy_L019876,decoy,development_validation,-8.281,-7.72,-8.336,-9.781
MK14,MK14_decoy_L020004,decoy,development_train,-8.301,-7.662,-7.592,-8.336
MK14,MK14_decoy_L020124,decoy,development_train,-5.913,-6.293,-6.236,-6.644
MK14,MK14_decoy_L020279,decoy,development_train,-6.798,-6.544,-6.858,-6.954
MK14,MK14_decoy_L020336,decoy,development_train,-7.572,-7.151,-7.521,-7.375
MK14,MK14_decoy_L020630,decoy,development_train,-8.531,-7.752,-8.195,-9.317
MK14,MK14_decoy_L020857,decoy,development_validation,-7.852,-7.405,-8.152,-8.082
MK14,MK14_decoy_L021108,decoy,development_train,-8.397,-7.987,-9.012,-9.524
MK14,MK14_decoy_L021406,decoy,development_train,-8.277,-7.487,-9.286,-9.593
MK14,MK14_decoy_L021941,decoy,development_train,-10.6,-9.198,-9.723,-10.02
MK14,MK14_decoy_L021947,decoy,development_train,-8.184,-8.488,-9.123,-9.968
MK14,MK14_decoy_L022441,decoy,development_train,-8.006,-8.746,-8.06,-8.196
MK14,MK14_decoy_L022544,decoy,development_train,-9.168,-9.421,-8.647,-10.9
MK14,MK14_decoy_L023260,decoy,development_validation,-9.256,-8.998,-10.29,-11.21
MK14,MK14_decoy_L023791,decoy,development_validation,-8.276,-8.106,-9.338,-9.449
MK14,MK14_decoy_L023901,decoy,development_train,-6.896,-7.09,-6.731,-6.778
MK14,MK14_decoy_L024084,decoy,development_train,-7.658,-7.768,-8.142,-9.185
MK14,MK14_decoy_L024210,decoy,development_validation,-7.791,-8.985,-8.781,-8.916
MK14,MK14_decoy_L024306,decoy,development_train,-7.873,-7.712,-7.331,-7.562
MK14,MK14_decoy_L024469,decoy,development_train,-7.534,-7.768,-8.817,-9.421
MK14,MK14_decoy_L025739,decoy,development_train,-8.071,-7.645,-7.432,-7.818
MK14,MK14_decoy_L025924,decoy,development_train,-8.583,-6.85,-9.238,-9.741
MK14,MK14_decoy_L026116,decoy,development_train,-8.122,-8.693,-9.833,-9.734
MK14,MK14_decoy_L026413,decoy,development_train,-8.711,-8.247,-9.867,-9.728
MK14,MK14_decoy_L026557,decoy,development_train,-7.567,-8.554,-8.433,-8.907
MK14,MK14_decoy_L026804,decoy,development_train,-9.818,-10.26,-12.28,-13.48
MK14,MK14_decoy_L026987,decoy,development_validation,-7.128,-7.634,-8.017,-7.464
MK14,MK14_decoy_L027360,decoy,development_train,-10.55,-8.583,-9.194,-9.873
MK14,MK14_decoy_L027419,decoy,development_validation,-8.469,-8.233,-8.372,-9.371
MK14,MK14_decoy_L029583,decoy,development_train,-8.94,-8.961,-10.18,-9.498
MK14,MK14_decoy_L029808,decoy,development_train,-6.762,-6.173,-7.297,-7.191
MK14,MK14_decoy_L030597,decoy,development_validation,-7.93,-7.707,-8.956,-9.353
MK14,MK14_decoy_L031208,decoy,development_train,-7.363,-7.508,-8.101,-8.946
MK14,MK14_decoy_L031223,decoy,development_validation,-7.305,-7.09,-7.63,-7.599
MK14,MK14_decoy_L031427,decoy,development_train,-7.713,-7.399,-7.593,-8.833
MK14,MK14_decoy_L031587,decoy,development_train,-10.02,-9.339,-9.418,-10.09
MK14,MK14_decoy_L031780,decoy,development_validation,-8.953,-9.12,-8.777,-8.644
MK14,MK14_decoy_L032005,decoy,development_train,-9.338,-8.535,-8.541,-8.177
MK14,MK14_decoy_L032058,decoy,development_train,-9.244,-10.08,-10.01,-10.34
MK14,MK14_decoy_L032372,decoy,development_train,-7.674,-7.126,-8.0,-7.74
MK14,MK14_decoy_L032504,decoy,development_train,-8.616,-8.421,-9.2,-10.02
MK14,MK14_decoy_L032866,decoy,development_train,-8.854,-8.745,-9.75,-10.12
MK14,MK14_decoy_L033264,decoy,development_validation,-8.543,-8.415,-9.538,-10.13
MK14,MK14_decoy_L033297,decoy,development_train,-8.327,-8.622,-9.105,-9.227
MK14,MK14_decoy_L033366,decoy,development_train,-8.921,-8.714,-9.56,-9.686
MK14,MK14_decoy_L033402,decoy,development_train,-9.857,-9.07,-10.53,-9.434
MK14,MK14_decoy_L033596,decoy,development_validation,-8.914,-7.791,-9.505,-10.03
MK14,MK14_decoy_L033872,decoy,development_train,-9.245,-9.043,-9.694,-9.825
MK14,MK14_decoy_L034100,decoy,development_validation,-8.662,-7.675,-9.71,-10.29
MK14,MK14_decoy_L034191,decoy,development_train,-10.01,-9.821,-9.968,-10.82
MK14,MK14_decoy_L034654,decoy,development_validation,-7.955,-7.551,-9.038,-8.995
MK14,MK14_decoy_L034780,decoy,development_validation,-7.086,-6.932,-7.074,-7.887
MK14,MK14_decoy_L034884,decoy,development_validation,-8.137,-7.332,-8.312,-8.985
MK14,MK14_decoy_L035049,decoy,development_validation,-9.248,-7.981,-8.064,-9.556
MK14,MK14_decoy_L035138,decoy,development_train,-8.645,-6.951,-8.905,-8.518
